,FIPS,civil_unemploy_1990,civil_unemploy_2000,civil_unemploy_2010,median_HH_inc_1990,median_HH_inc_2000,median_HH_inc_2010,femaleHH_ns_pct_1990,femaleHH_ns_pct_2000,femaleHH_ns_pct_2010,vacant_HHunit_1990,vacant_HHunit_2000,vacant_HHunit_2010,owner_occ_pct_1990,owner_occ_pct_2000,owner_occ_pct_2010,eduattain_HS_1990,eduattain_HS_2000,eduattain_HS_2010,pctfam_pover_1990,pctfam_pover_2000,pctfam_pover_2010,healthfac_1999,healthfac_2005,healthfac_2005_1999,population_2000
1345,37199,7.9,2.6,6,19401,29674,35703,10.89045484,7.8,8.1,23.39254441,23.2,30.7,80.8,80.2,76.4,60.7,36.9,36,14.7941681,10.9,14.2,1.012715202,0.956453246,-0.056261956,17774
1346,38001,1.3,1.1,3.8,20722,29079,35966,5.875576037,5.5,4.8,15.82446809,20.8,20.3,70.4,71.1,72.6,72.5,35.4,40.1,10.14823261,8.5,5.7,0,0,0,2593
1347,38003,3.1,2.9,2.6,20419,31166,41773,9.188865609,6.8,6.4,14.23892432,12.8,15.4,68.5,71.2,69,75.4,32.5,33.6,11.98926335,6.4,6.4,1.6985138,1.6985138,0,11775
1348,38015,3.7,2.5,2.9,28450,41309,53465,12.67632361,8.7,8.7,4.701088098,4.6,5,64.8,68,69,83,23.7,23.7,7.904618851,5.3,6.3,2.463409012,2.837962429,0.374553417,69416
1349,38017,3.1,3,4.1,26806,38147,47600,11.85614021,7.6,8.3,5.013323272,4.6,5.9,54.8,54.3,53.7,87.1,22.9,22.7,7.309735896,5.7,5.8,2.022121522,2.59058942,0.568467898,123138
1350,38023,1.7,2.4,0.6,21507,30089,48152,7.211538462,4.2,4.5,28.43431314,31.6,26.2,79.6,82.1,80.2,69.4,34.9,32.5,8.383961118,9.5,9.4,0,0,0,2283
1351,38027,6.3,2.7,3.7,19310,28642,38404,7.116104869,5,7.4,18.7755102,17.9,20.1,71.5,75.4,76.2,66.5,27.9,29.3,7.481296758,6.9,11.5,0,0,0,2757
1352,38035,4.5,2.9,4.4,25162,35785,44242,12.0832839,8.8,9.1,6.44268045,7.1,6.6,48.7,53.9,52.3,85.6,24.4,24.1,8.478412256,8,8.2,1.421894145,1.75467788,0.332783736,66109
1353,38043,5.3,2.7,2.7,17378,25389,34250,4.49790795,4.1,5,25.41866029,28.1,36.7,83.8,81.7,79,60.5,35,31.1,20.1621074,17.6,15.1,0,0,0,2753
1354,38057,6,3.6,3.5,31969,42269,60191,6.058367196,5.1,5,20.81850534,24,18.5,80.4,84.5,80.4,71.2,31,27.3,7.658643326,5.5,4.1,1.735307728,0,-1.735307728,8644
